Chapter,Article Number,Paragraph Num,Title,Content,Links,Source
1,2,4,Material scope,by the Member States when carrying out activities which fall within the scope ofChapter 2 of Title V of the TEU;,https://gdpr-info.eu/art-2-gdpr/,http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:12012M/TXT
1,2,5,Material scope,by a natural person in the course of a purely personal or household activity;,https://gdpr-info.eu/art-2-gdpr/,
1,2,6,Material scope,"by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security.",https://gdpr-info.eu/art-2-gdpr/,
1,2,7,Material scope,"1For the processing of personal data by the Union institutions, bodies, offices and agencies,Regulation (EC) No 45/2001applies.2Regulation (EC) No 45/2001 and other Union legal acts applicable to such processing of personal data shall be adapted to the principles and rules of this Regulation in accordance withArticle 98.",https://gdpr-info.eu/art-2-gdpr/,"http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32001R0045, https://gdpr-info.eu/art-98-gdpr/"
1,2,8,Material scope,"This Regulation shall be without prejudice to the application ofDirective 2000/31/EC, in particular of the liability rules of intermediary service providers in Articles 12 to 15 of that Directive.",https://gdpr-info.eu/art-2-gdpr/,http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32000L0031
1,3,1,Territorial scope,"This Regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union, regardless of whether the processing takes place in the Union or not.",https://gdpr-info.eu/art-3-gdpr/,
1,3,2,Territorial scope,"This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to:the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; orthe monitoring of their behaviour as far as their behaviour takes place within the Union.",https://gdpr-info.eu/art-3-gdpr/,
1,3,2.1,Territorial scope,"the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or",https://gdpr-info.eu/art-3-gdpr/,
1,3,2.2,Territorial scope,the monitoring of their behaviour as far as their behaviour takes place within the Union.,https://gdpr-info.eu/art-3-gdpr/,
1,3,3,Territorial scope,"the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or",https://gdpr-info.eu/art-3-gdpr/,
1,3,4,Territorial scope,the monitoring of their behaviour as far as their behaviour takes place within the Union.,https://gdpr-info.eu/art-3-gdpr/,
1,3,5,Territorial scope,"This Regulation applies to the processing of personal data by a controller not established in the Union, but in a place where Member State law applies by virtue of public international law.",https://gdpr-info.eu/art-3-gdpr/,
1,4,0,Definitions,For the purposes of this Regulation:,https://gdpr-info.eu/art-4-gdpr/,
1,4,1,Definitions,"‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;",https://gdpr-info.eu/art-4-gdpr/,
1,4,2,Definitions,"‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction;",https://gdpr-info.eu/art-4-gdpr/,
1,4,3,Definitions,‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in the future;,https://gdpr-info.eu/art-4-gdpr/,
1,4,4,Definitions,"‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person’s performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements;",https://gdpr-info.eu/art-4-gdpr/,
1,4,5,Definitions,"‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;",https://gdpr-info.eu/art-4-gdpr/,
1,4,6,Definitions,"‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis;",https://gdpr-info.eu/art-4-gdpr/,
1,4,7,Definitions,"‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law;",https://gdpr-info.eu/art-4-gdpr/,
1,4,8,Definitions,"‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;",https://gdpr-info.eu/art-4-gdpr/,
1,4,9,Definitions,"1‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not.2However, public authorities which may receive personal data in the framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as recipients; the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing;",https://gdpr-info.eu/art-4-gdpr/,
1,4,10,Definitions,"‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data;",https://gdpr-info.eu/art-4-gdpr/,
1,4,11,Definitions,"‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject’s wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her;",https://gdpr-info.eu/art-4-gdpr/,
1,4,12,Definitions,"‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;",https://gdpr-info.eu/art-4-gdpr/,
1,4,13,Definitions,"‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result, in particular, from an analysis of a biological sample from the natural person in question;",https://gdpr-info.eu/art-4-gdpr/,
1,4,14,Definitions,"‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physiological or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data;",https://gdpr-info.eu/art-4-gdpr/,
1,4,15,Definitions,"‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status;",https://gdpr-info.eu/art-4-gdpr/,
1,4,16,Definitions,"‘main establishment’ means:as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;",https://gdpr-info.eu/art-4-gdpr/,
1,4,16.1,Definitions,"as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;",https://gdpr-info.eu/art-4-gdpr/,
1,4,16.2,Definitions,"as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;",https://gdpr-info.eu/art-4-gdpr/,
1,4,17,Definitions,"as regards a controller with establishments in more than one Member State, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;",https://gdpr-info.eu/art-4-gdpr/,
1,4,18,Definitions,"as regards a processor with establishments in more than one Member State, the place of its central administration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;",https://gdpr-info.eu/art-4-gdpr/,
1,4,19,Definitions,"‘representative’ means a natural or legal person established in the Union who, designated by the controller or processor in writing pursuant toArticle 27, represents the controller or processor with regard to their respective obligations under this Regulation;",https://gdpr-info.eu/art-4-gdpr/,https://gdpr-info.eu/art-27-gdpr/
1,4,20,Definitions,"‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity;",https://gdpr-info.eu/art-4-gdpr/,
1,4,21,Definitions,‘group of undertakings’ means a controlling undertaking and its controlled undertakings;,https://gdpr-info.eu/art-4-gdpr/,
1,4,22,Definitions,"‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a joint economic activity;",https://gdpr-info.eu/art-4-gdpr/,
1,4,23,Definitions,‘supervisory authority’ means an independent public authority which is established by a Member State pursuant toArticle 51;,https://gdpr-info.eu/art-4-gdpr/,https://gdpr-info.eu/art-51-gdpr/
1,4,24,Definitions,‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because:the controller or processor is established on the territory of the Member State of that supervisory authority;data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; ora complaint has been lodged with that supervisory authority;,https://gdpr-info.eu/art-4-gdpr/,
1,4,24.1,Definitions,the controller or processor is established on the territory of the Member State of that supervisory authority;,https://gdpr-info.eu/art-4-gdpr/,
1,4,24.2,Definitions,data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or,https://gdpr-info.eu/art-4-gdpr/,
1,4,24.3,Definitions,a complaint has been lodged with that supervisory authority;,https://gdpr-info.eu/art-4-gdpr/,
1,4,25,Definitions,the controller or processor is established on the territory of the Member State of that supervisory authority;,https://gdpr-info.eu/art-4-gdpr/,
1,4,26,Definitions,data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or,https://gdpr-info.eu/art-4-gdpr/,
1,4,27,Definitions,a complaint has been lodged with that supervisory authority;,https://gdpr-info.eu/art-4-gdpr/,
1,4,28,Definitions,‘cross-border processing’ means either:processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; orprocessing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.,https://gdpr-info.eu/art-4-gdpr/,
1,4,28.1,Definitions,processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or,https://gdpr-info.eu/art-4-gdpr/,
1,4,28.2,Definitions,processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.,https://gdpr-info.eu/art-4-gdpr/,
1,4,29,Definitions,processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or,https://gdpr-info.eu/art-4-gdpr/,
1,4,30,Definitions,processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State.,https://gdpr-info.eu/art-4-gdpr/,
1,4,31,Definitions,"‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of this Regulation, or whether envisaged action in relation to the controller or processor complies with this Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the Union;",https://gdpr-info.eu/art-4-gdpr/,
1,4,32,Definitions,‘information society service’ means a service as defined in point (b) of Article 1(1) ofDirective (EU) 2015/1535of the European Parliament and of the Council (¹);,https://gdpr-info.eu/art-4-gdpr/,http://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32015L1535
1,4,33,Definitions,"‘international organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries.",https://gdpr-info.eu/art-4-gdpr/,
2,5,1,Principles relating to processing of personal data,"Personal data shall be:processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance withArticle 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance withArticle 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).",https://gdpr-info.eu/art-5-gdpr/,"https://gdpr-info.eu/art-89-gdpr/, https://gdpr-info.eu/art-89-gdpr/"
2,5,1.1,Principles relating to processing of personal data,"processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,1.2,Principles relating to processing of personal data,"collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance withArticle 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);",https://gdpr-info.eu/art-5-gdpr/,https://gdpr-info.eu/art-89-gdpr/
2,5,1.3,Principles relating to processing of personal data,"adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,1.4,Principles relating to processing of personal data,"accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,1.5,Principles relating to processing of personal data,"kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance withArticle 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);",https://gdpr-info.eu/art-5-gdpr/,https://gdpr-info.eu/art-89-gdpr/
2,5,1.6,Principles relating to processing of personal data,"processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).",https://gdpr-info.eu/art-5-gdpr/,
2,5,2,Principles relating to processing of personal data,"processed lawfully, fairly and in a transparent manner in relation to the data subject (‘lawfulness, fairness and transparency’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,3,Principles relating to processing of personal data,"collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes; further processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes shall, in accordance withArticle 89(1), not be considered to be incompatible with the initial purposes (‘purpose limitation’);",https://gdpr-info.eu/art-5-gdpr/,https://gdpr-info.eu/art-89-gdpr/
2,5,4,Principles relating to processing of personal data,"adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed (‘data minimisation’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,5,Principles relating to processing of personal data,"accurate and, where necessary, kept up to date; every reasonable step must be taken to ensure that personal data that are inaccurate, having regard to the purposes for which they are processed, are erased or rectified without delay (‘accuracy’);",https://gdpr-info.eu/art-5-gdpr/,
2,5,6,Principles relating to processing of personal data,"kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed; personal data may be stored for longer periods insofar as the personal data will be processed solely for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance withArticle 89(1) subject to implementation of the appropriate technical and organisational measures required by this Regulation in order to safeguard the rights and freedoms of the data subject (‘storage limitation’);",https://gdpr-info.eu/art-5-gdpr/,https://gdpr-info.eu/art-89-gdpr/
2,5,7,Principles relating to processing of personal data,"processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage, using appropriate technical or organisational measures (‘integrity and confidentiality’).",https://gdpr-info.eu/art-5-gdpr/,
2,5,8,Principles relating to processing of personal data,"The controller shall be responsible for, and be able to demonstrate compliance with, paragraph 1 (‘accountability’).",https://gdpr-info.eu/art-5-gdpr/,
2,6,0,Lawfulness of processing,Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.,https://gdpr-info.eu/art-6-gdpr/,
2,6,0,Lawfulness of processing,"2The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.3That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for inChapter IX.4The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.",https://gdpr-info.eu/art-6-gdpr/,https://gdpr-info.eu/chapter-9/
2,6,1,Lawfulness of processing,"Processing shall be lawful only if and to the extent that at least one of the following applies:the data subject has given consent to the processing of his or her personal data for one or more specific purposes;processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;processing is necessary for compliance with a legal obligation to which the controller is subject;processing is necessary in order to protect the vital interests of the data subject or of another natural person;processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.Point (f) of the first subparagraph shall not apply to processing carried out by public authorities in the performance of their tasks.",https://gdpr-info.eu/art-6-gdpr/,
2,6,1.1,Lawfulness of processing,the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,https://gdpr-info.eu/art-6-gdpr/,
2,6,1.2,Lawfulness of processing,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,https://gdpr-info.eu/art-6-gdpr/,
2,6,1.3,Lawfulness of processing,processing is necessary for compliance with a legal obligation to which the controller is subject;,https://gdpr-info.eu/art-6-gdpr/,
2,6,1.4,Lawfulness of processing,processing is necessary in order to protect the vital interests of the data subject or of another natural person;,https://gdpr-info.eu/art-6-gdpr/,
2,6,1.5,Lawfulness of processing,processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,https://gdpr-info.eu/art-6-gdpr/,
2,6,1.6,Lawfulness of processing,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.",https://gdpr-info.eu/art-6-gdpr/,
2,6,2,Lawfulness of processing,the data subject has given consent to the processing of his or her personal data for one or more specific purposes;,https://gdpr-info.eu/art-6-gdpr/,
2,6,3,Lawfulness of processing,processing is necessary for the performance of a contract to which the data subject is party or in order to take steps at the request of the data subject prior to entering into a contract;,https://gdpr-info.eu/art-6-gdpr/,
2,6,4,Lawfulness of processing,processing is necessary for compliance with a legal obligation to which the controller is subject;,https://gdpr-info.eu/art-6-gdpr/,
2,6,5,Lawfulness of processing,processing is necessary in order to protect the vital interests of the data subject or of another natural person;,https://gdpr-info.eu/art-6-gdpr/,
2,6,6,Lawfulness of processing,processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller;,https://gdpr-info.eu/art-6-gdpr/,
2,6,7,Lawfulness of processing,"processing is necessary for the purposes of the legitimate interests pursued by the controller or by a third party, except where such interests are overridden by the interests or fundamental rights and freedoms of the data subject which require protection of personal data, in particular where the data subject is a child.",https://gdpr-info.eu/art-6-gdpr/,
2,6,8,Lawfulness of processing,Member States may maintain or introduce more specific provisions to adapt the application of the rules of this Regulation with regard to processing for compliance with points (c) and (e) of paragraph 1 by determining more precisely specific requirements for the processing and other measures to ensure lawful and fair processing including for other specific processing situations as provided for inChapter IX.,https://gdpr-info.eu/art-6-gdpr/,https://gdpr-info.eu/chapter-9/
2,6,9,Lawfulness of processing,"1The basis for the processing referred to in point (c) and (e) of paragraph 1 shall be laid down by:Union law; orMember State law to which the controller is subject.2The purpose of the processing shall be determined in that legal basis or, as regards the processing referred to in point (e) of paragraph 1, shall be necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.3That legal basis may contain specific provisions to adapt the application of rules of this Regulation, inter alia: the general conditions governing the lawfulness of processing by the controller; the types of data which are subject to the processing; the data subjects concerned; the entities to, and the purposes for which, the personal data may be disclosed; the purpose limitation; storage periods; and processing operations and processing procedures, including measures to ensure lawful and fair processing such as those for other specific processing situations as provided for inChapter IX.4The Union or the Member State law shall meet an objective of public interest and be proportionate to the legitimate aim pursued.",https://gdpr-info.eu/art-6-gdpr/,https://gdpr-info.eu/chapter-9/
2,6,9.1,Lawfulness of processing,Union law; or,https://gdpr-info.eu/art-6-gdpr/,
2,6,9.2,Lawfulness of processing,Member State law to which the controller is subject.,https://gdpr-info.eu/art-6-gdpr/,
2,6,10,Lawfulness of processing,Union law; or,https://gdpr-info.eu/art-6-gdpr/,
2,6,11,Lawfulness of processing,Member State law to which the controller is subject.,https://gdpr-info.eu/art-6-gdpr/,
2,6,12,Lawfulness of processing,"Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject’s consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to inArticle 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia:any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;the nature of the personal data, in particular whether special categories of personal data are processed, pursuant toArticle 9, or whether personal data related to criminal convictions and offences are processed, pursuant toArticle 10;the possible consequences of the intended further processing for data subjects;the existence of appropriate safeguards, which may include encryption or pseudonymisation.",https://gdpr-info.eu/art-6-gdpr/,"https://gdpr-info.eu/art-23-gdpr/, https://gdpr-info.eu/art-9-gdpr/, https://gdpr-info.eu/art-10-gdpr/"
2,6,12.1,Lawfulness of processing,any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;,https://gdpr-info.eu/art-6-gdpr/,
2,6,12.2,Lawfulness of processing,"the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;",https://gdpr-info.eu/art-6-gdpr/,
2,6,12.3,Lawfulness of processing,"the nature of the personal data, in particular whether special categories of personal data are processed, pursuant toArticle 9, or whether personal data related to criminal convictions and offences are processed, pursuant toArticle 10;",https://gdpr-info.eu/art-6-gdpr/,"https://gdpr-info.eu/art-9-gdpr/, https://gdpr-info.eu/art-10-gdpr/"
2,6,12.4,Lawfulness of processing,the possible consequences of the intended further processing for data subjects;,https://gdpr-info.eu/art-6-gdpr/,
2,6,12.5,Lawfulness of processing,"the existence of appropriate safeguards, which may include encryption or pseudonymisation.",https://gdpr-info.eu/art-6-gdpr/,
2,6,13,Lawfulness of processing,any link between the purposes for which the personal data have been collected and the purposes of the intended further processing;,https://gdpr-info.eu/art-6-gdpr/,
2,6,14,Lawfulness of processing,"the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller;",https://gdpr-info.eu/art-6-gdpr/,
2,6,15,Lawfulness of processing,"the nature of the personal data, in particular whether special categories of personal data are processed, pursuant toArticle 9, or whether personal data related to criminal convictions and offences are processed, pursuant toArticle 10;",https://gdpr-info.eu/art-6-gdpr/,"https://gdpr-info.eu/art-9-gdpr/, https://gdpr-info.eu/art-10-gdpr/"
2,6,16,Lawfulness of processing,the possible consequences of the intended further processing for data subjects;,https://gdpr-info.eu/art-6-gdpr/,
2,6,17,Lawfulness of processing,"the existence of appropriate safeguards, which may include encryption or pseudonymisation.",https://gdpr-info.eu/art-6-gdpr/,
2,7,1,Conditions for consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",https://gdpr-info.eu/art-7-gdpr/,
2,7,2,Conditions for consent,"1If the data subject’s consent is given in the context of a written declaration which also concerns other matters, the request for consent shall be presented in a manner which is clearly distinguishable from the other matters, in an intelligible and easily accessible form, using clear and plain language.2Any part of such a declaration which constitutes an infringement of this Regulation shall not be binding.",https://gdpr-info.eu/art-7-gdpr/,
2,7,3,Conditions for consent,"1The data subject shall have the right to withdraw his or her consent at any time.2The withdrawal of consent shall not affect the lawfulness of processing based on consent before its withdrawal.3Prior to giving consent, the data subject shall be informed thereof.4It shall be as easy to withdraw as to give consent.",https://gdpr-info.eu/art-7-gdpr/,
2,7,4,Conditions for consent,"When assessing whether consent is freely given, utmost account shall be taken of whether,inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.",https://gdpr-info.eu/art-7-gdpr/,
2,8,1,Conditions applicable to child's consent in relation to information society services,"1Where point (a) ofArticle 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is at least 16 years old.2Where the child is below the age of 16 years, such processing shall be lawful only if and to the extent that consent is given or authorised by the holder of parental responsibility over the child.3Member States may provide by law for a lower age for those purposes provided that such lower age is not below 13 years.",https://gdpr-info.eu/art-8-gdpr/,https://gdpr-info.eu/art-6-gdpr/
